id	sex	bdate	education	occupation	langs
58199688	1	1995			
57571754	1	1993			
57535902	2	0			
56224355	2	0			
56187396	1	1993			
55524849	1	1988			
55261084	1	1991			
54839553	1	0			
131882553	1	1992			['Русский', 'Deutsch', 'English']
52105964	2	0			
50326490	1	1992			
48661258	2	0			
42727650	1	1993			
42631899	1	0			
34533875	1	1994			
33055514	1	0			
26339208	1	0			
25361901	1	1993			
25056964	1	1991			
23736054	1	0			
23317272	1	1992			
21672312	1	1991			
19856086	1	1992			
17551167	2	1992			
14547442	1	1992			
14426110	1	0			
13010282	1	0			
12274696	1	1990			
11766570	1	0			
10965035	1	1990			
10772683	1	1989			
9463958	1	1988			
4072536	1	1982			
2938187	1	0			
2443362	1	1986			
2125628	1	1986			
800983	1	1987			
94301	2	1985			
291648471	1	0			
288498904	1	0			
283458949	1	1996			
265654729	1	1991			
254712613	2	0			
237227716	2	0			
227929363	1	2001			
223377973	2	0			
222997547	1	1990			
221965545	1	0			
218211751	2	0			
247819751	1	2001			
215125327	1	0			
199700767	1	0			
196086008	2	1997			
193301497	1	0			
191902671	2	1992			
189597128	1	1994			['Русский', 'English', 'Українська']
189129512	1	1993			
189081425	1	0			
187654086	1	1995			
186725210	1	0			
185738690	2	1997			
185288764	1	2000			
178566277	1	0			
176912816	1	1997			
173963375	1	0			
173939616	1	0			['Русский', 'English']
170624127	1	2001			
170083150	1	0			
197902150	1	1995			
168581472	1	1998			
166517343	1	0			
163510469	2	0			['Русский', 'Italiano']
163291878	1	1989			
159954488	1	1998			
158157707	1	0			
157498888	1	0			
157424033	1	0			
156453272	2	0			['Русский', 'English']
155374096	1	0			
153898000	1	1997			
152785131	1	1994			
151617999	1	0			
151451980	1	1916			
151070067	2	0			
150943432	1	1997			
148281724	1	0			
148238903	1	0			
147658799	1	1997			
147530545	2	0			
146472484	2	0			
146449573	1	0			
146266258	1	1989			
145976736	2	1996			['Русский', 'English']
145193923	2	0			
145101166	2	0			
144805318	1	0			
144745369	1	0			
143937116	2	0			
143036487	1	0			
141681491	1	1993			
140806624	1	0			
139906286	2	0			
139531486	2	0			
138654723	2	0			
138379946	1	1993			
138286351	1	1995			
137764073	1	0			['Русский', 'Français', 'English']
137739137	1	1994			
136351913	1	0			
136347570	1	0			
159568570	2	1996			
134995689	2	0			
134410464	2	0			['Русский', 'Français']
133974021	1	0			
133882239	2	1991			
133139472	1	1995			
131905668	1	1992			['Русский', 'English', 'தமிழ்']
131667662	1	1993			
128445220	2	0			['Русский', 'English']
147558220	1	0			
124448889	1	0			
122331551	2	0			
121380155	2	1990			
121374577	1	2000			
120202177	2	0			
118740062	1	1998			
118598867	1	0			
116332057	1	1997			['Русский', 'English', 'Deutsch']
116011844	2	1992			
115849397	2	0			
112895205	1	1995			
110637037	1	0			
109553365	2	1993			
109071265	1	1995			
108430245	1	0			
106996084	1	0			['Русский', 'English']
104050948	2	0			
