path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country		region	language
C:\search\corpora\2016\02\				Ульяновская правда - Виктор Гусев: Излишен только коммерческий патриотизм	05.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22217	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - виктор гусев: излишний только коммерческий патриотизм

C:\search\corpora\2016\02\				Ульяновская правда - Лев Нецветаев представил свою талантливую семью	19.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22612	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - лев нецветаев представлять свой талантливый семья

C:\search\corpora\2016\02\				Ульяновская правда - Актер Александр Носик: Образ крутого парня - часть меня	19.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22588	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - актер александр носик: образ крутой парень - часть я

C:\search\corpora\2016\02\				Ульяновская правда - В Ульяновске готовят выставку картин Алексея Соколова «Предчувствие весны»	15.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22449	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - в ульяновск готовить выставка картина алексей соколов «предчувствие весна»

C:\search\corpora\2016\02\				Ульяновская правда - Дирижёр Ульяновского симфонического оркестра Дмитрий Руссу: Пустое занятие - пытаться объяснить словами музыку 	12.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22401	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - дирижер ульяновский симфонический оркестр дмитрий русс: пустой занятие - пытаться объяснять слово музыка 

C:\search\corpora\2016\02\				Ульяновская правда - Ульяновцы отмечают 250-летие Николая Карамзина 	09.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22288	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец отмечать 250-летие николай карамзин 

C:\search\corpora\2016\02\				Ульяновская правда - В Ульяновске покажут самые редкие издания книг Николая Карамзина	05.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22203	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - в ульяновск показывать самый редкий издание книга николай карамзин

C:\search\corpora\2016\02\				Ульяновская правда - 3D-модель дома Карамзиных воссоздают по старинным чертежам	04.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22176	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - 3D-модель дом карамзин воссоздавать по старинный чертеж

C:\search\corpora\2016\02\				Ульяновская правда - Ульяновцев приглашает проект «Путешествие с Карамзиным» 	03.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22146	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец приглашать проект «путешествие с карамзин» 

C:\search\corpora\2016\02\				Ульяновская правда - Ульяновцы отметили день рождения художника А. Пластова	01.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22086	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец отмечать день рождение художник а. пластова

C:\search\corpora\2016\01\				Ульяновская правда - Ульяновцы  отмечают день рождения великого художника Аркадия Пластова	27.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21988	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец  отмечать день рождение великий художник аркадий пластова

C:\search\corpora\2016\01\				Ульяновская правда - Архитектор Петр Курочкин: Жизнь, посвящённая Симбирску	26.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21935	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - архитектор петр курочкин: жизнь, посвящать симбирск

C:\search\corpora\2016\01\				Ульяновская правда - У Николая Карамзина появился свой портал	21.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21857	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - у николай карамзин появляться свой портал

C:\search\corpora\2016\01\				Ульяновская правда - Художник Владимир Зунузин подарил свои картины поэту Евгению Евтушенко	15.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21680	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - художник владимир зунузин подарить свой картина поэт евгений евтушенко

C:\search\corpora\2016\01\				Ульяновская правда - Евгений Евтушенко подарил ульяновцам свои книги	14.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21668	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - евгений евтушенко подарить ульяновец свой книга

C:\search\corpora\2016\01\				Ульяновская правда - Памятную доску откроют на доме, где жил в детстве кинорежиссер Петр Чардынин	13.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21635	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - памятный доска открывать на дом, где жить в детство кинорежиссер петр чардынин

C:\search\corpora\2016\01\				Ульяновская правда - Счастливый ЕвГений. Маэстро танца Евгений Карнилов отпраздновал свое 60-летие "Юбилейным балом"	04.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21454	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - счастливый евгений. маэстро танец евгений карнилов отпраздновать свой 60-летие "юбилейный бал"

C:\search\corpora\2016\01\				Ульяновская правда - Ульяновцы вспоминают замечательного поэта-земляка Николая Благова	02.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21434	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец вспоминать замечательный поэт-земляк николай благов

C:\search\corpora\2016\01\				Ульяновская правда - Первый день года - день памяти Ильи Муромца	02.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21429	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - первый день год - день память илья муромец

C:\search\corpora\2015\12\				Ульяновская правда - Молодой ульяновский солист Денис Володин приглашен на "Новую звезду"	22.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21119	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - молодой ульяновский солист денис володин приглашать на "новый звезда"

C:\search\corpora\2015\12\				Ульяновская правда - В юбилей Строгановки в Москве вспоминают Аркадия Пластова 	21.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21091	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в юбилей строгановка в москва вспоминать аркадий пластова 

C:\search\corpora\2015\12\				Ульяновская правда - Пикассо отказал, а Зунузину не смог	18.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21068	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - пикассо отказывать, а зунузин не смочь

C:\search\corpora\2015\12\				Ульяновская правда - Наргиз: Участие в «Голосе» было правильным выбором	18.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21060	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - наргиз: участие в «голос» быть правильный выбор

C:\search\corpora\2015\12\				Ульяновская правда - Дмитрий Дюжев обнажил тело и душу	15.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20966	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - дмитрий дюжев обнажать тело и душа

C:\search\corpora\2015\12\				Ульяновская правда - Евгений Евтушенко: Я верю в Россию	15.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20931	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - евгений евтушенко: я верить в россия

C:\search\corpora\2015\12\				Ульяновская правда - Карамзин: 249 лет открытий	09.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20793	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - карамзин: 249 год открытие

C:\search\corpora\2015\12\				Ульяновская правда - Евтушенко отметит день рождения Карамзина в Мемцентре	08.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20737	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - евтушенко отмечать день рождение карамзин в мемцентр

C:\search\corpora\2015\12\				Ульяновская правда - Карамзинским декабрем закончится Год литературы в Ульяновске	04.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20674	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - карамзинский декабрь заканчиваться год литература в ульяновск

