uid	sex
21672312	1
216759630	1
216918265	1
216978963	1
218211751	2
218564934	1
219288203	1
219352063	2
219754935	1
22024387	1
22085729	1
221965545	1
222997547	1
223377973	2
22387246	1
22447129	2
2245382	1
22601199	1
226264218	1
22681469	2
22772147	2
227929363	1
228125194	2
22814470	1
228874068	2
229006543	1
229333319	2
22946314	1
229585071	2
229990607	2
230258737	1
23064609	1
23067544	1
23094545	2
23175544	2
231836631	2
23317272	1
234380881	2
23468502	1
235581193	1
235814952	1
236699959	1
237227716	2
23736054	1
238753721	1
239133052	2
239250099	2
239453325	1
24028388	1
241087874	1
241471299	1
242258251	1
24289505	2
243726016	2
2443362	1
24442546	1
24697879	1
247602534	1
247819751	1
2478549	1
2496256	1
250050548	1
25022769	1
25056964	1
253128354	2
253323405	2
25361901	1
254712613	2
2559200	1
25685572	2
257522782	2
257556810	1
25802330	1
258447313	1
259550002	1
26049185	2
261384569	1
261526241	1
26168499	1
262438248	1
26295331	1
26339208	1
264064974	1
26482552	1
265654729	1
265871468	1
26662486	2
26680615	1
269823462	1
270525864	1
27123503	1
272316821	1
27307463	1
278665313	2
28059339	2
28175428	2
283458949	1
28386322	1
28459360	1
28659446	1
287044653	1
287112463	2
288498904	1
28991373	1
29074498	1
291648471	1
293033884	2
2938187	1
29546647	1
29580599	2
29668820	2
296730938	1
297239032	1
297409242	1
30017525	1
30198986	1
302202756	2
30421943	1
30825794	1
308935137	2
312043	2
312991495	1
313058499	1
31366409	1
31444966	1
314820217	2
31578662	2
31582553	2
318275725	1
318938405	1
32072302	1
32176334	1
32274697	2
32499519	1
32617753	2
326790393	1
32845386	2
32863838	1
328874039	1
32942383	2
32989967	2
33055514	1
336853287	1
33701026	1
337992171	1
33999858	1
34273435	2
34375203	1
34533875	1
346186228	1
34949956	1
35143023	1
35212055	2
35241118	1
35410092	2
35585073	2
3567943	1
35713957	1
35849907	1
36464883	1
36661369	1
36772381	2
36903134	2
3705979	2
37297451	2
37355155	2
38086655	1
38362898	2
38969482	1
3901075	2
4010634	1
40395251	2
40643213	1
40684211	2
4072536	1
40762252	1
41172663	1
41204874	1
41243844	1
41426419	2
41786015	2
42631899	1
42727650	1
43226132	1
43356944	2
43375882	1
43391461	1
43434614	2
43560020	1
43766045	1
4389784	1
44056531	1
44135765	2
44284843	2
44425092	2
44577185	1
44667371	2
44910745	2
44912210	1
45274507	2
45391073	1
4588059	1
46552003	1
46886578	1
47259957	1
47637299	1
47779788	1
47911262	2
47912609	2
47938015	1
48382548	1
48386219	1
48518011	1
48647051	2
48661258	2
48796411	2
49124049	2
49208388	1
49366217	2
49422766	1
49568794	1
49593088	1
49643429	1
49693631	1
49873199	1
50024552	2
50024767	1
50032593	2
50127228	2
50326490	1
50622578	1
50622995	1
50685393	2
50845361	1
50895772	2
51013268	2
51026677	1
51052786	2
51137483	1
51345982	2
51422229	1
51511075	2
51649026	2
51780322	1
51838761	2
51904262	1
52039219	2
52105964	2
52179289	1
52190674	1
52205980	1
52278056	1
52562030	1
52584666	2
52645652	1
52670684	2
52678301	2
52739058	1
52940459	1
53185965	2
53189852	1
53502139	1
53571362	1
53770885	1
54134184	1
54281483	2
54379877	2
54441283	1
54445601	1
54556152	2
54620043	1
54661429	2
54799204	1
54839197	2
54839553	1
54894651	2
54960573	1
54970674	2
55097871	1
55134040	2
55261084	1
55441567	1
55464733	1
55524849	1
55588310	1
55822036	2
56166973	1
56187396	1
56224355	2
56308886	1
5655509	1
56661386	1
56781132	2
56840563	2
56901073	1
57043661	1
5714810	2
57384920	2
57535902	2
57571450	1
57571754	1
57709383	1
57895907	1
58160508	1
58199688	1
58226589	2
58374839	1
58406633	1
58576704	1
58906617	1
59185675	1
59319734	1
59352139	2
59544611	2
59546458	1
59665932	2
5980461	1
59968486	1
60482187	1
61179712	1
61206596	1
61378817	1
61495643	1
61666168	1
61768685	1
61804100	1
61808633	1
61944743	2
62056455	2
62131636	2
62170026	2
62299233	1
62369845	2
62403216	1
62409184	2
62430861	1
62496029	1
62499805	1
62500897	1
62551043	1
62605582	2
62734563	1
63046161	1
63057666	1
63118746	1
63245513	1
63256107	2
63408078	1
63605533	1
63780924	2
63794273	2
63802290	1
64034622	1
64264652	1
64341035	1
64512209	1
64777232	2
64845830	2
64943335	1
65279278	2
65310940	1
65437945	1
65517052	2
65622689	1
65641978	2
6565996	1
65689482	2
65967291	1
66071395	1
66128848	2
66161954	1
66171510	2
66219919	2
66570608	1
66581085	2
66584220	1
66711250	1
66827358	1
67116892	2
67181454	2
67185238	1
67235443	1
67287263	1
67709653	2
67842724	1
67904408	1
67906138	1
68467086	1
68535494	1
68836347	1
68842684	1
68867482	2
68996843	1
69157526	1
69880173	1
69914047	2
70077677	1
70088546	1
70559728	1
70670319	1
70895117	1
70950997	2
70978692	2
71775776	2
72303222	1
72318511	1
72905319	2
72925874	1
